Player,FG%,3P%,FT%,PTS,AST,TRB,BLK,STL,All-Star,Salary
Aaron Gordon,43.7,30.8,67.4,14.4,3.7,7.7,0.6,0.8,0,19863636
Aaron Holiday,41.4,39.4,85.1,9.5,3.4,2.4,0.2,0.8,0,2329200
Abdel Nader,46.800000000000004,37.5,77.3,6.3,0.7,1.8,0.4,0.4,0,1618520
Admiral Schofield,38.0,31.1,66.7,3.0,0.5,1.4,0.1,0.2,0,1000000
Al Horford,45.0,35.0,76.3,11.9,4.0,6.8,0.9,0.8,0,28000000
Al-Farouq Aminu,29.099999999999998,25.0,65.5,4.3,1.2,4.8,0.4,1.0,0,9258000
Alec Burks,41.8,38.5,88.7,15.0,2.9,4.3,0.3,0.9,0,1620564
Alex Caruso,41.199999999999996,33.300000000000004,73.4,5.5,1.9,1.9,0.3,1.1,0,2750000
Alex Len,55.50000000000001,27.1,64.8,8.0,0.9,5.8,0.9,0.4,0,4160000
Alfonzo McKinnie,42.699999999999996,21.5,71.0,4.6,0.4,2.8,0.2,0.6,0,1500000
Alize Johnson,41.4,37.5,70.0,2.0,0.4,2.8,0.1,0.2,0,1416852
Allen Crabbe,35.6,30.3,71.39999999999999,4.6,0.9,2.1,0.1,0.4,0,18500000
Allonzo Trier,48.1,35.8,79.10000000000001,6.5,1.2,1.2,0.2,0.1,0,3551000
Amile Jefferson,35.699999999999996,0.0,35.699999999999996,0.8,0.2,1.3,0.2,0.1,0,1529007
Andre Drummond,53.300000000000004,14.299999999999999,57.49999999999999,17.7,2.7,15.2,1.6,1.9,0,27093019
Andre Iguodala,43.2,29.799999999999997,40.0,4.6,2.4,3.7,1.0,0.7,0,17185185
Andre Roberson,27.6,21.4,50.0,2.9,0.6,3.9,0.4,0.1,0,10740740
Andrew Wiggins,44.7,33.2,70.89999999999999,21.8,3.7,5.1,1.0,0.8,0,27504630
Anfernee Simons,39.900000000000006,33.2,82.6,8.3,1.4,2.2,0.1,0.4,0,2149560
Anthony Davis,50.3,33.0,84.6,26.1,3.2,9.3,2.3,1.5,1,27093018
Anthony Tolliver,35.699999999999996,33.800000000000004,72.39999999999999,3.6,0.8,2.8,0.2,0.3,0,183115
Aron Baynes,48.0,35.099999999999994,74.7,11.5,1.6,5.6,0.5,0.2,0,5453280
Austin Rivers,42.1,35.6,70.3,8.8,1.7,2.6,0.1,0.7,0,2147317
Avery Bradley,44.4,36.4,83.3,8.6,1.3,2.3,0.1,0.9,0,4767000
Bam Adebayo,55.7,14.299999999999999,69.1,15.9,5.1,10.2,1.3,1.1,1,3454080
Ben McLemore,44.4,40.0,74.6,10.1,0.8,2.2,0.2,0.6,0,2028594
Ben Simmons,57.99999999999999,28.599999999999998,62.1,16.4,8.0,7.8,0.6,2.1,1,8113930
Bismack Biyombo,54.300000000000004,0.0,60.3,7.4,0.9,5.8,0.9,0.2,0,17000000
Blake Griffin,35.199999999999996,24.3,77.60000000000001,15.5,3.3,4.7,0.4,0.4,0,34449964
Bobby Portis,45.0,35.8,76.3,10.1,1.5,5.1,0.3,0.5,0,15000000
Brad Wanamaker,44.800000000000004,36.3,92.60000000000001,6.9,2.5,2.0,0.2,0.9,0,1445697
Bradley Beal,45.5,35.3,84.2,30.5,6.1,4.2,0.4,1.2,0,27093019
Brandon Clarke,61.8,35.9,75.9,12.1,1.4,5.9,0.8,0.6,0,2478840
Brandon Goodwin,40.0,29.9,93.30000000000001,6.1,1.5,2.1,0.1,0.4,0,522738
Brandon Ingram,46.300000000000004,39.1,85.1,23.8,4.2,6.1,0.6,1.0,1,7265485
Brandon Knight,35.3,34.4,58.8,7.3,2.8,1.6,0.1,0.4,0,15643750
Brook Lopez,43.5,31.4,83.6,12.0,1.5,4.6,2.4,0.7,0,12093023
Bruce Brown,44.3,34.4,73.9,8.9,4.0,4.7,0.5,1.1,0,1416852
Bruno Caboclo,42.699999999999996,18.2,88.9,3.0,0.4,2.0,0.6,0.5,0,1845301
Bruno Fernando,51.800000000000004,13.5,56.89999999999999,4.3,0.9,3.5,0.3,0.3,0,1400000
Bryn Forbes,41.699999999999996,38.800000000000004,83.3,11.2,1.7,2.0,0.0,0.5,0,2875000
Buddy Hield,42.9,39.4,84.6,19.2,3.0,4.6,0.2,0.9,0,4861208
C.J. Miles,32.2,31.4,75.0,6.4,1.2,1.2,0.4,1.0,0,8333333
CJ McCollum,45.1,37.9,75.7,22.2,4.4,4.2,0.6,0.8,0,27556959
Caleb Martin,44.0,54.1,81.0,6.2,1.3,2.1,0.4,0.7,0,898310
Caleb Swanigan,59.599999999999994,0.0,52.900000000000006,2.4,1.1,3.7,0.3,0.1,0,2033160
Cam Reddish,38.4,33.2,80.2,10.5,1.5,3.7,0.5,1.1,0,4245720
Cameron Johnson,43.5,39.0,80.7,8.8,1.2,3.3,0.4,0.6,0,4033440
Cameron Payne,48.5,51.7,85.7,10.9,3.0,3.9,0.3,1.0,0,1737145
Caris LeVert,42.5,36.4,71.1,18.7,4.4,4.2,0.2,1.2,0,2625718
Carmelo Anthony,43.0,38.5,84.5,15.4,1.5,6.3,0.5,0.8,0,1364204
Carsen Edwards,32.800000000000004,31.6,68.4,3.3,0.6,1.3,0.1,0.3,0,1228026
Cedi Osman,43.7,38.3,67.0,11.0,2.4,3.6,0.2,0.8,0,2907143
Chandler Hutchison,45.7,31.6,59.0,7.8,0.9,3.9,0.3,1.0,0,2332320
Chandler Parsons,27.800000000000004,28.599999999999998,0.0,2.8,0.6,1.4,0.2,0.8,0,25102511
Cheick Diallo,64.8,33.300000000000004,87.2,4.7,0.5,2.8,0.3,0.2,0,1678854
Chimezie Metu,57.099999999999994,0.0,76.9,3.2,0.6,1.8,0.3,0.2,0,1416852
Chris Boucher,47.199999999999996,32.2,78.4,6.6,0.4,4.5,1.0,0.4,0,1588231
Chris Clemons,40.1,34.599999999999994,90.9,4.9,0.8,0.9,0.2,0.3,0,563347
Chris Paul,48.9,36.5,90.7,17.6,6.7,5.0,0.2,1.6,1,38506482
Chris Silva,61.5,0.0,67.30000000000001,3.0,0.5,2.9,0.5,0.2,0,466918
Christian Wood,56.699999999999996,38.6,74.4,13.1,1.0,6.3,0.9,0.5,0,1645357
Clint Capela,62.9,0.0,52.900000000000006,13.9,1.2,13.8,1.8,0.8,0,14896552
Coby White,39.4,35.4,79.10000000000001,13.2,2.7,3.5,0.1,0.8,0,5307120
Cody Martin,43.0,23.400000000000002,64.60000000000001,5.0,2.0,3.3,0.2,0.8,0,1173310
Cody Zeller,52.400000000000006,24.0,68.2,11.1,1.5,7.1,0.4,0.7,0,14471910
Collin Sexton,47.199999999999996,38.0,84.6,20.8,3.0,3.1,0.1,1.0,0,4764960
Cory Joseph,41.5,35.199999999999996,85.7,6.4,3.5,2.6,0.3,0.7,0,12000000
Courtney Lee,48.8,44.7,85.7,4.5,0.5,1.3,0.3,0.8,0,12759670
D'Angelo Russell,42.6,36.7,80.9,23.1,6.3,3.9,0.3,1.1,0,27285000
D.J. Augustin,39.900000000000006,34.8,89.0,10.5,4.6,2.1,0.0,0.6,0,7250000
D.J. Wilson,39.4,24.7,61.1,3.6,0.7,2.5,0.1,0.1,0,2961120
Damian Jones,68.0,22.2,73.8,5.6,0.6,3.7,0.7,0.5,0,2305057
Damian Lillard,46.300000000000004,40.1,88.8,30.0,8.0,4.3,0.3,1.1,0,29802321
Damion Lee,41.699999999999996,35.6,87.3,12.7,2.7,4.9,0.1,1.0,0,842327
Damyean Dotson,41.4,36.199999999999996,66.7,6.7,1.2,1.9,0.1,0.5,0,1618520
Daniel Gafford,70.1,0.0,53.300000000000004,5.1,0.5,2.5,1.3,0.3,0,898310
Daniel Theis,56.599999999999994,33.300000000000004,76.3,9.2,1.7,6.6,1.3,0.6,0,5000000
Danilo Gallinari,43.8,40.5,89.3,18.7,1.9,5.2,0.1,0.7,0,22615559
Danny Green,41.6,36.7,68.8,8.0,1.3,3.3,0.5,1.3,0,14634146
Dante Exum,47.099999999999994,34.9,74.4,4.5,1.1,1.9,0.2,0.4,0,9600000
Danuel House Jr.,42.699999999999996,36.3,81.10000000000001,10.5,1.3,4.2,0.5,1.1,0,3540000
Darius Bazley,39.4,34.8,69.39999999999999,5.6,0.7,4.0,0.7,0.4,0,2284800
Darius Garland,40.1,35.5,87.5,12.3,3.9,1.9,0.1,0.7,0,6400920
David Nwaba,52.1,42.9,66.7,5.2,0.4,2.3,0.6,0.6,0,903111
De'Aaron Fox,48.0,29.2,70.5,21.1,6.8,3.8,0.5,1.5,0,6392760
De'Andre Hunter,41.0,35.5,76.4,12.3,1.8,4.5,0.3,0.7,0,7068360
De'Anthony Melton,40.1,28.599999999999998,76.9,7.6,2.9,3.7,0.3,1.3,0,1416852
DeAndre Jordan,66.60000000000001,0.0,68.0,8.3,1.9,10.0,0.9,0.3,0,9881598
DeAndre' Bembry,45.6,23.1,54.2,5.8,1.9,3.5,0.4,1.3,0,2603982
DeMar DeRozan,53.1,25.7,84.5,22.1,5.6,5.5,0.3,1.0,0,27739975
DeMarre Carroll,37.9,24.2,69.0,3.6,1.0,2.3,0.2,0.3,0,512721
Deandre Ayton,54.6,23.1,75.3,18.2,1.9,11.5,1.5,0.7,0,9562920
Dejounte Murray,46.2,36.9,79.80000000000001,10.9,4.1,5.8,0.3,1.7,0,2321735
Delon Wright,46.2,37.0,77.0,6.9,3.3,3.8,0.3,1.2,0,9473684
Dennis Smith Jr.,34.1,29.599999999999998,50.9,5.5,2.9,2.3,0.2,0.8,0,4463640
Denzel Valentine,40.9,33.6,75.0,6.8,1.2,2.1,0.2,0.7,0,3377569
Deonte Burton,34.4,18.9,57.099999999999994,2.7,0.4,1.5,0.3,0.2,0,1416852
Derrick Favors,61.7,14.299999999999999,56.3,9.0,1.6,9.8,0.9,0.6,0,17650000
Derrick Jones Jr.,52.7,28.000000000000004,77.2,8.5,1.1,3.9,0.6,1.0,0,1645357
Derrick Rose,49.0,30.599999999999998,87.1,18.1,5.6,2.4,0.3,0.8,0,7317073
Derrick White,45.800000000000004,36.6,85.3,11.3,3.5,3.3,0.9,0.6,0,1948080
Devin Booker,48.9,35.4,91.9,26.6,6.5,4.2,0.3,0.7,1,27285000
Devonte' Graham,38.2,37.3,82.0,18.2,7.5,3.4,0.2,1.0,0,1416852
Dewan Hernandez,35.699999999999996,50.0,60.0,2.3,0.5,2.3,0.0,0.2,0,898310
Dewayne Dedmon,40.0,20.599999999999998,83.3,5.8,0.5,5.7,0.9,0.6,0,13333333
Dillon Brooks,40.699999999999996,35.8,80.80000000000001,16.2,2.1,3.3,0.4,0.9,0,1618520
Dion Waiters,41.4,31.900000000000002,82.39999999999999,11.1,2.0,2.4,0.6,0.4,0,375385
Domantas Sabonis,54.0,25.4,72.3,18.5,5.0,12.4,0.5,0.8,1,3529555
Donovan Mitchell,44.9,36.6,86.3,24.0,4.3,4.4,0.2,1.0,1,3635760
Donte DiVincenzo,45.5,33.6,73.3,9.2,2.3,4.8,0.3,1.3,0,2905800
Dorian Finney-Smith,46.6,37.6,72.2,9.5,1.6,5.7,0.5,0.6,0,4000000
Doug McDermott,48.8,43.5,82.8,10.3,1.1,2.5,0.1,0.2,0,7333333
Dragan Bender,44.6,34.9,71.39999999999999,6.7,1.8,4.6,0.6,0.3,0,1678854
Draymond Green,38.9,27.900000000000002,75.9,8.0,6.2,6.2,0.8,1.4,0,18539130
Duncan Robinson,47.0,44.6,93.10000000000001,13.5,1.4,3.2,0.3,0.5,0,1416852
Dwayne Bacon,34.8,28.4,66.0,5.7,1.3,2.6,0.1,0.6,0,1618520
Dwight Howard,72.89999999999999,60.0,51.4,7.5,0.7,7.3,1.1,0.4,0,1620564
Dwight Powell,63.800000000000004,25.6,66.7,9.4,1.5,5.7,0.6,0.9,0,10259375
E'Twaun Moore,42.6,37.7,68.89999999999999,8.3,1.4,2.3,0.2,0.6,0,8664928
Ed Davis,47.8,0.0,50.0,1.8,0.4,3.8,0.3,0.4,0,4767000
Edmond Sumner,43.0,26.400000000000002,55.2,4.9,1.8,1.5,0.3,0.5,0,2000000
Elfrid Payton,43.9,20.3,56.99999999999999,10.0,7.2,4.7,0.4,1.6,0,8000000
Elie Okobo,39.800000000000004,35.199999999999996,70.39999999999999,4.0,2.1,1.6,0.1,0.4,0,1416852
Emmanuel Mudiay,46.2,34.5,75.9,7.3,2.1,2.3,0.2,0.4,0,1620564
Eric Bledsoe,47.5,34.4,79.0,14.9,5.4,4.6,0.4,0.9,0,15625000
Eric Gordon,36.9,31.7,76.6,14.4,1.5,2.0,0.4,0.6,0,14057730
Eric Paschall,49.7,28.7,77.4,14.0,2.1,4.6,0.2,0.5,0,898310
Evan Fournier,46.7,39.900000000000006,81.8,18.5,3.2,2.6,0.2,1.1,0,17150000
Evan Turner,37.3,0.0,85.7,3.3,2.0,2.0,0.4,0.5,0,18606556
Frank Jackson,40.5,32.6,74.7,6.3,1.0,1.4,0.1,0.3,0,1618520
Frank Kaminsky,45.0,33.1,67.80000000000001,9.7,1.9,4.5,0.3,0.4,0,4767000
Frank Ntilikina,39.300000000000004,32.1,86.4,6.3,3.0,2.1,0.3,0.9,0,4855800
Fred VanVleet,41.3,39.0,84.8,17.6,6.6,3.8,0.3,1.9,0,9346153
Furkan Korkmaz,43.0,40.2,75.5,9.8,1.1,2.3,0.2,0.6,0,1620564
Garrett Temple,37.8,32.9,80.5,10.3,2.5,3.5,0.5,0.8,0,4767000
Gary Clark,40.6,35.099999999999994,90.0,3.7,0.4,2.6,0.5,0.1,0,555409
Gary Harris,42.0,33.300000000000004,81.5,10.4,2.1,2.9,0.3,1.4,0,17839286
Gary Payton II,41.4,28.299999999999997,50.0,3.9,1.7,2.8,0.2,1.1,0,1052909
Gary Trent Jr.,44.4,41.8,82.19999999999999,8.9,1.0,1.6,0.3,0.8,0,1416852
George Hill,51.6,46.0,84.2,9.4,3.1,3.0,0.1,0.8,0,9133907
Georges Niang,43.8,40.0,83.3,5.9,0.7,1.9,0.1,0.3,0,1645357
Giannis Antetokounmpo,55.300000000000004,30.4,63.3,29.5,5.6,13.6,1.0,1.0,1,25842697
Glenn Robinson III,48.6,39.1,86.0,11.7,1.5,4.4,0.3,0.9,0,1620564
Goga Bitadze,46.7,19.0,72.7,3.2,0.4,2.0,0.7,0.2,0,2816760
Gordon Hayward,50.0,38.3,85.5,17.5,4.1,6.7,0.4,0.7,0,32700690
Gorgui Dieng,45.6,35.5,77.2,7.4,1.2,5.6,0.9,0.8,0,16229213
Grant Williams,41.199999999999996,25.0,72.2,3.4,1.0,2.6,0.5,0.4,0,2379840
Grayson Allen,46.6,40.400000000000006,86.7,8.7,1.4,2.2,0.1,0.3,0,2429400
Hamidou Diallo,44.6,28.1,60.3,6.9,0.8,3.6,0.2,0.8,0,1416852
Harrison Barnes,46.0,38.1,80.10000000000001,14.5,2.2,4.9,0.2,0.6,0,24147727
Hassan Whiteside,62.1,57.099999999999994,68.60000000000001,15.5,1.2,13.5,2.9,0.4,0,27093017
Ian Mahinmi,49.5,19.2,61.9,7.4,1.3,5.7,1.2,0.8,0,15450051
Ignas Brazdeikis,27.3,11.1,80.0,1.9,0.4,0.6,0.1,0.0,0,898310
Iman Shumpert,32.800000000000004,24.2,57.099999999999994,4.2,0.9,2.6,0.2,0.9,0,1419138
Isaac Bonga,50.4,35.199999999999996,81.2,5.0,1.2,3.4,0.3,0.7,0,1416842
Isaiah Hartenstein,65.7,0.0,67.9,4.7,0.8,3.9,0.5,0.4,0,1416852
Isaiah Roby,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0,1500000
Isaiah Thomas,40.8,41.3,81.6,12.2,3.7,1.7,0.2,0.3,0,1620564
Ish Smith,44.7,36.7,72.1,10.9,4.9,3.2,0.4,0.9,0,6000000
Ivica Zubac,61.3,0.0,74.7,8.3,1.1,7.5,0.9,0.2,0,6481482
J.J. Barea,41.099999999999994,37.6,90.9,7.7,3.9,1.8,0.1,0.2,0,1620564
Ja Morant,47.699999999999996,33.5,77.60000000000001,17.8,7.3,3.9,0.3,0.9,0,8730240
JaKarr Sampson,59.099999999999994,15.4,66.7,4.6,0.6,2.6,0.4,0.5,0,1620564
JaMychal Green,42.9,38.7,75.0,6.8,0.8,6.2,0.4,0.5,0,4767000
JaVale McGee,63.7,50.0,64.60000000000001,6.6,0.5,5.7,1.4,0.5,0,4000000
Jabari Parker,51.0,26.900000000000002,75.3,14.0,1.8,5.6,0.4,1.2,0,6500000
Jacob Evans,33.6,33.300000000000004,86.2,4.4,1.1,1.4,0.4,0.4,0,1925880
Jae Crowder,40.1,34.300000000000004,77.60000000000001,10.5,2.5,5.9,0.4,1.1,0,7815533
Jahlil Okafor,62.3,33.300000000000004,64.5,8.1,1.2,4.2,0.7,0.2,0,1702486
Jake Layman,45.300000000000004,33.300000000000004,75.0,9.1,0.7,2.5,0.4,0.7,0,3581986
Jakob Poeltl,62.4,0.0,46.5,5.6,1.8,5.7,1.4,0.6,0,3754886
Jalen Brunson,46.6,35.8,81.3,8.2,3.3,2.4,0.1,0.4,0,1416852
Jalen Lecque,40.0,0.0,100.0,2.0,0.4,0.4,0.0,0.0,0,898310
Jalen McDaniels,47.099999999999994,37.5,82.39999999999999,5.6,0.8,4.1,0.2,0.5,0,898310
Jamal Murray,45.6,34.599999999999994,88.1,18.5,4.8,4.0,0.3,1.1,0,4444746
James Ennis III,44.6,32.5,80.60000000000001,6.6,0.9,3.6,0.3,0.5,0,1882867
James Harden,44.4,35.5,86.5,34.3,7.5,6.6,0.9,1.8,1,38199000
James Johnson,47.9,36.3,64.60000000000001,8.4,2.3,3.7,1.0,0.8,0,15349400
Jared Dudley,40.0,42.9,100.0,1.5,0.6,1.2,0.1,0.3,0,1620564
Jaren Jackson Jr.,46.9,39.4,74.7,17.4,1.4,4.6,1.6,0.7,0,6927480
Jarred Vanderbilt,62.5,0.0,100.0,1.1,0.2,0.8,0.1,0.3,0,1416852
Jarrett Allen,64.9,0.0,63.3,11.1,1.6,9.6,1.3,0.6,0,2376840
Jarrett Culver,40.400000000000006,29.9,46.2,9.2,1.7,3.4,0.6,0.9,0,5813640
Javonte Green,50.0,27.3,66.7,3.4,0.5,1.9,0.2,0.5,0,898310
Jaxson Hayes,67.2,25.0,64.7,7.4,0.9,4.0,0.9,0.4,0,4862040
Jaylen Brown,48.1,38.2,72.39999999999999,20.3,2.1,6.4,0.4,1.1,0,6534829
Jaylen Nowell,35.8,11.5,94.1,3.8,1.3,0.9,0.1,0.2,0,1400000
Jayson Tatum,45.0,40.300000000000004,81.2,23.4,3.0,7.0,0.9,1.4,1,7830000
Jeff Green,46.2,33.900000000000006,80.2,9.4,1.0,2.8,0.4,0.5,0,439475
Jeff Teague,43.6,36.8,87.3,10.9,5.2,2.4,0.3,0.7,0,19000000
Jerami Grant,47.8,38.9,75.0,12.0,1.2,3.5,0.8,0.7,0,9346153
Jeremy Lamb,45.1,33.5,83.6,12.5,2.1,4.3,0.5,1.2,0,10500000
Jerome Robinson,37.1,32.0,70.19999999999999,5.1,1.4,2.0,0.3,0.4,0,3567720
Jevon Carter,41.6,42.5,85.2,4.9,1.4,2.0,0.3,0.8,0,1416852
Jimmy Butler,45.5,24.4,83.39999999999999,19.9,6.0,6.7,0.6,1.8,1,32742000
Joe Harris,48.6,42.4,71.89999999999999,14.5,2.1,4.3,0.2,0.6,0,7666667
Joe Ingles,44.5,39.900000000000006,78.7,9.8,5.2,3.9,0.2,0.9,0,11954546
Joel Embiid,47.699999999999996,33.1,80.7,23.0,3.0,11.6,1.3,0.9,1,27504630
John Collins,58.3,40.1,80.0,21.6,1.5,10.1,1.6,0.8,0,2686560
John Henson,55.60000000000001,22.2,50.0,5.5,1.4,4.1,1.1,0.6,0,9732396
Jonah Bolden,36.4,0.0,50.0,1.4,0.0,1.3,0.3,0.4,0,1698450
Jonathan Isaac,47.0,34.0,77.9,11.9,1.4,6.8,2.3,1.6,0,5806440
Jordan Bell,52.2,33.300000000000004,61.3,3.2,0.6,2.8,0.3,0.1,0,1620564
Jordan Clarkson,45.4,36.8,83.6,15.2,1.9,2.6,0.2,0.6,0,13437500
Jordan McRae,40.699999999999996,35.699999999999996,76.1,11.5,2.5,3.4,0.4,0.6,0,1645357
Jordan Poole,33.300000000000004,27.900000000000002,79.80000000000001,8.8,2.4,2.1,0.2,0.6,0,1964760
Josh Hart,42.3,34.2,73.9,10.1,1.7,6.5,0.4,1.0,0,1655160
